scenario,retrofit_status,pv_included,city_demand_GWh,net_demand_GWh,year,grid_factor_yr,annual_carbon_kt,annual_carbon_fixed_kt,carbon_savings_kt_vs_current_baseline
Current,baseline,False,15381.6,15381.6,2025,0.5703,8772.1,8772.1,0.0
Current,baseline,True,15381.6,13778.6,2025,0.5703,7857.9,7857.9,914.2
2050_SSP245,baseline,False,14946.5,14946.5,2050,0.3,4483.9,8524.0,248.1
2050_SSP245,baseline,True,14946.5,13343.5,2050,0.3,4003.0,7609.8,1162.3
2050_SSP585,baseline,False,14867.4,14867.4,2050,0.3,4460.2,8478.9,293.2
2050_SSP585,baseline,True,14867.4,13264.4,2050,0.3,3979.3,7564.7,1207.4
2080_SSP245,baseline,False,14831.5,14831.5,2080,0.1,1483.2,8458.4,313.7
2080_SSP245,baseline,True,14831.5,13228.5,2080,0.1,1322.9,7544.2,1227.9
2080_SSP585,baseline,False,14700.9,14700.9,2080,0.1,1470.1,8383.9,388.2
2080_SSP585,baseline,True,14700.9,13097.9,2080,0.1,1309.8,7469.7,1302.4
Current,R5,False,9747.8,9747.8,2025,0.5703,5559.2,5559.2,3213.0
Current,R5,True,9747.8,8144.8,2025,0.5703,4645.0,4645.0,4127.1
2050_SSP245,R5,False,9937.5,9937.5,2050,0.3,2981.2,5667.4,3104.8
2050_SSP245,R5,True,9937.5,8334.5,2050,0.3,2500.3,4753.2,4019.0
2050_SSP585,R5,False,9991.7,9991.7,2050,0.3,2997.5,5698.3,3073.9
2050_SSP585,R5,True,9991.7,8388.7,2050,0.3,2516.6,4784.1,3988.1
2080_SSP245,R5,False,10013.3,10013.3,2080,0.1,1001.3,5710.6,3061.5
2080_SSP245,R5,True,10013.3,8410.3,2080,0.1,841.0,4796.4,3975.7
2080_SSP585,R5,False,10270.9,10270.9,2080,0.1,1027.1,5857.5,2914.6
2080_SSP585,R5,True,10270.9,8667.9,2080,0.1,866.8,4943.3,3828.8
