year,grid_factor,deploy_frac_c,A_BAU_demand_GWh,B_R5PV_demand_GWh,C_stepwise_demand_GWh,D_SSP585_demand_GWh,A_annual_kt,B_annual_kt,C_annual_kt,D_annual_kt,A_cumulative_kt,B_cumulative_kt,C_cumulative_kt,D_cumulative_kt
2025,0.5703,0.0,15381.6,8144.8,15381.6,8144.8,8772.1,4645.0,8772.1,4645.0,0.0,0.0,0.0,0.0
2030,0.5162,0.167,15294.6,8182.7,14109.3,8193.6,7895.7,4224.3,7283.8,4229.9,41669.5,22173.2,40139.8,22187.2
2035,0.4622,0.333,15207.6,8220.7,12878.6,8242.4,7028.6,3799.4,5952.2,3809.5,78980.2,42232.5,73229.8,42285.8
2040,0.4081,0.5,15120.5,8258.6,11689.6,8291.1,6171.0,3370.5,4770.8,3383.8,111979.2,60157.2,100037.2,60269.0
2045,0.3541,0.625,15033.5,8296.6,10822.9,8339.9,5322.8,2937.5,3832.0,2952.8,140713.8,75927.2,121544.2,76110.5
2050,0.3,0.75,14946.5,8334.5,9987.5,8388.7,4483.9,2500.3,2996.2,2516.6,165230.5,89521.8,138614.8,89784.0
2055,0.2667,0.875,14927.3,8347.1,9169.7,8435.2,3980.6,2225.9,2445.2,2249.4,186391.8,101337.2,152218.2,101699.0
2060,0.2333,1.0,14908.2,8359.8,8359.8,8481.8,3478.6,1950.6,1950.6,1979.1,205039.8,111778.5,163207.8,112270.2
2065,0.2,1.0,14889.0,8372.4,8372.4,8528.3,2977.8,1674.5,1674.5,1705.7,221180.8,120841.2,172270.5,121482.2
2070,0.1667,1.0,14869.8,8385.0,8385.0,8574.8,2478.3,1397.5,1397.5,1429.1,234821.0,128521.2,179950.5,129319.2
2075,0.1333,1.0,14850.7,8397.7,8397.7,8621.4,1980.1,1119.7,1119.7,1149.5,245967.0,134814.2,186243.5,135765.8
2080,0.1,1.0,14831.5,8410.3,8410.3,8667.9,1483.2,841.0,841.0,866.8,254625.2,139716.0,191145.2,140806.5
