scenario,retrofit_status,city_heating_GWh,city_cooling_GWh,city_other_GWh,city_total_GWh,change_vs_current_pct
Current,baseline,4535.4,2532.2,8313.9,15381.6,0.0
2050_SSP245,baseline,3469.0,3163.6,8313.9,14946.5,-2.83
2050_SSP585,baseline,3222.2,3331.3,8313.9,14867.4,-3.34
2080_SSP245,baseline,3121.8,3395.9,8313.9,14831.5,-3.58
2080_SSP585,baseline,2252.0,4135.0,8313.9,14700.9,-4.43
Current,R5,160.6,1694.1,7893.1,9747.8,0.0
2050_SSP245,R5,86.7,1957.7,7893.1,9937.5,1.95
2050_SSP585,R5,71.6,2027.0,7893.1,9991.7,2.5
2080_SSP245,R5,66.1,2054.1,7893.1,10013.3,2.72
2080_SSP585,R5,27.5,2350.3,7893.1,10270.9,5.37
