era,retrofit_status,scenario,heating_eui_current,cooling_eui_current,heating_eui_scenario,cooling_eui_scenario,heating_factor,cooling_factor,total_eui_change_pct
1,baseline,Current,99.61,44.46,99.61,44.46,1.0,1.0,0.0
1,baseline,2050_SSP245,99.61,44.46,77.34,56.22,0.776428,1.264507,-3.587
1,baseline,2050_SSP585,99.61,44.46,72.18,59.34,0.724626,1.334683,-4.246
1,baseline,2080_SSP245,99.61,44.46,70.06,60.52,0.703343,1.361224,-4.556
1,baseline,2080_SSP585,99.61,44.46,51.61,74.29,0.518121,1.67094,-5.75
1,R5,Current,2.97,25.17,2.97,25.17,1.0,1.0,0.0
1,R5,2050_SSP245,2.97,25.17,1.62,29.26,0.545455,1.162495,2.537
1,R5,2050_SSP585,2.97,25.17,1.34,30.34,0.451178,1.205403,3.253
1,R5,2080_SSP245,2.97,25.17,1.24,30.75,0.417508,1.221692,3.542
1,R5,2080_SSP585,2.97,25.17,0.52,35.39,0.175084,1.406039,7.004
2,baseline,Current,60.96,36.16,60.96,36.16,1.0,1.0,0.0
2,baseline,2050_SSP245,60.96,36.16,46.13,45.16,0.756726,1.248894,-2.261
2,baseline,2050_SSP585,60.96,36.16,42.71,47.55,0.700623,1.314989,-2.606
2,baseline,2080_SSP245,60.96,36.16,41.33,48.47,0.677986,1.340431,-2.767
2,baseline,2080_SSP585,60.96,36.16,29.35,59.05,0.481463,1.63302,-2.772
2,R5,Current,2.97,25.17,2.97,25.17,1.0,1.0,0.0
2,R5,2050_SSP245,2.97,25.17,1.62,29.26,0.545455,1.162495,2.537
2,R5,2050_SSP585,2.97,25.17,1.34,30.34,0.451178,1.205403,3.253
2,R5,2080_SSP245,2.97,25.17,1.24,30.75,0.417508,1.221692,3.542
2,R5,2080_SSP585,2.97,25.17,0.52,35.39,0.175084,1.406039,7.004
3,baseline,Current,15.06,20.9,15.06,20.9,1.0,1.0,0.0
3,baseline,2050_SSP245,15.06,20.9,10.61,25.2,0.704515,1.205742,-0.293
3,baseline,2050_SSP585,15.06,20.9,9.57,26.35,0.635458,1.260766,-0.213
3,baseline,2080_SSP245,15.06,20.9,9.16,26.82,0.608234,1.283254,-0.166
3,baseline,2080_SSP585,15.06,20.9,5.77,31.79,0.383134,1.521053,1.197
3,R5,Current,0.19,18.96,0.19,18.96,1.0,1.0,0.0
3,R5,2050_SSP245,0.19,18.96,0.06,21.43,0.315789,1.130274,2.482
3,R5,2050_SSP585,0.19,18.96,0.04,22.07,0.210526,1.16403,3.152
3,R5,2080_SSP245,0.19,18.96,0.03,22.35,0.157895,1.178797,3.443
3,R5,2080_SSP585,0.19,18.96,0.0,25.01,0.0,1.319093,6.327
