era,retrofit,building_count,floor_area_Mm2,baseline_energy_GWh,savings_GWh,savings_pct,paper2_savings_pct
era1,R1_Wall,7530,26.53,6930.86,490.61,7.08,7.08
era1,R2_Window,7530,26.53,6930.86,269.32,3.89,3.89
era1,R3_Roof,7530,26.53,6930.86,288.69,4.17,4.17
era1,R4_Infiltration,7530,26.53,6930.86,2375.82,34.28,34.28
era1,R5_Combined,7530,26.53,6930.86,3260.19,47.04,47.04
era2,R1_Wall,7190,26.29,5559.33,272.67,4.90,4.90
era2,R2_Window,7190,26.29,5559.33,125.16,2.25,2.25
era2,R3_Roof,7190,26.29,5559.33,167.49,3.01,3.01
era2,R4_Infiltration,7190,26.29,5559.33,1483.50,26.68,26.68
era2,R5_Combined,7190,26.29,5559.33,1921.82,34.57,34.57
era3,R1_Wall,4106,19.22,2891.38,54.21,1.87,1.87
era3,R2_Window,4106,19.22,2891.38,62.86,2.17,2.17
era3,R3_Roof,4106,19.22,2891.38,9.42,0.33,0.33
era3,R4_Infiltration,4106,19.22,2891.38,414.26,14.33,14.33
era3,R5_Combined,4106,19.22,2891.38,451.75,15.62,15.62
