era,retrofit,baseline_eui,retrofit_eui,delta_eui_total,delta_eui_heating,delta_eui_cooling,savings_percent
era1,R1_Wall,261.2100,242.7200,18.4900,14.4000,2.8000,7.0800
era1,R2_Window,261.2100,251.0600,10.1500,4.7500,4.2100,3.8900
era1,R3_Roof,261.2100,250.3300,10.8800,8.3500,2.1000,4.1700
era1,R4_Infiltration,261.2100,171.6700,89.5400,72.8400,12.4000,34.2800
era1,R5_Combined,261.2100,138.3400,122.8700,96.6400,19.2900,47.0400
era2,R1_Wall,211.4300,201.0600,10.3700,8.1300,1.4900,4.9000
era2,R2_Window,211.4300,206.6700,4.7600,1.9900,2.1100,2.2500
era2,R3_Roof,211.4300,205.0600,6.3700,4.8900,1.0500,3.0100
era2,R4_Infiltration,211.4300,155.0100,56.4200,46.1900,7.6200,26.6800
era2,R5_Combined,211.4300,138.3400,73.0900,57.9900,10.9900,34.5700
era3,R1_Wall,150.4100,147.5900,2.8200,1.6700,0.2900,1.8700
era3,R2_Window,150.4100,147.1400,3.2700,1.6900,0.5600,2.1700
era3,R3_Roof,150.4100,149.9200,0.4900,0.2700,0.0700,0.3300
era3,R4_Infiltration,150.4100,128.8600,21.5500,13.7100,1.9600,14.3300
era3,R5_Combined,150.4100,126.9100,23.5000,14.8700,1.9400,15.6200
